"name","original","new","delay","blocking","cruciality","centrality","reachability","total","term","difference"
"ENGL 110","0.8958","1.0","6","8","14","8","8","30","1","0.0129999999999999"
"MATH 162","0.7585","0.9861","6","13","19","12","13","44","1","0.06004999999999994"
"ECE 131","0.8571","1.0","4","9","13","8","9","30","1","0.01839999999999986"
"PHYC 160","0.7926","1.0","6","8","14","1","8","23","1","0.027599999999999958"
"ENGL 120","0.9188","1.0","6","7","13","15","7","35","2","0.021649999999999947"
"MATH 163","0.7502","0.9753","6","12","18","23","12","53","2","0.05719999999999992"
"PHYC 161","0.8497","1.0","6","7","13","1","7","21","2","0.004850000000000021"
"PHYC 161L","0.9866","1.0","3","0","3","0","0","3","2","0.021449999999999858"
"ECE 231","0.9261","1.0","4","6","10","11","6","27","2","0.024599999999999844"
"ECE 203","0.9341","1.0","6","5","11","29","5","45","3","0.009099999999999997"
"ECE 238L","0.8983","1.0","3","1","4","3","1","8","3","0.05674999999999997"
"ENGL 219","0.9317","1.0","3","0","3","2","0","5","3","0.029100000000000015"
"ECE 206L","0.9952","1.0","5","1","6","11","1","18","4","0.012949999999999906"
"ECE 300","0.9208","1.0","6","7","13","5","7","25","4","0.06054999999999988"
"ECE 213","0.9588","1.0","6","3","9","23","3","35","4","0.006000000000000005"
"MATH 264","0.8399","1.0","4","1","5","5","1","11","4","0.017549999999999844"
"ECE 330","0.9957","1.0","4","3","7","11","3","21","4","0.025249999999999884"
"ECE 321L","0.9697","1.0","6","1","7","13","1","21","5","0.008649999999999824"
"MATH 327","0.8458","1.0","5","2","7","5","2","14","5","0.05809999999999993"
"ECE 314","0.9304","1.0","5","0","5","7","0","12","5","0.004449999999999954"
"ECE 340","0.926","1.0","6","2","8","3","2","13","5","0.01749999999999996"
"ECE 335","1.0","1.0","4","0","4","3","0","7","6","0.019199999999999884"
"ECE 331","0.9735","1.0","6","1","7","5","1","13","6","0.058250000000000024"
"ECE 344L","0.9026","1.0","6","0","6","10","0","16","6","0.0022499999999998632"
"ECE 419","1.0","1.0","2","1","3","1","1","5","7","0.014799999999999924"
"ECE 437","0.9717","1.0","4","0","4","3","0","7","7","0.055199999999999916"
"ECE 435","1.0","1.0","6","0","6","0","0","6","7","-0.006200000000000094"
"ECE 420","1.0","1.0","2","0","2","1","0","3","8","0.01179999999999981"
"ECE 440","0.9799","1.0","4","0","4","3","0","7","8","0.05709999999999993"
