"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BUS1750",80.01,95.98,99.21,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CIS1020",80.14,95.98,99.18,99.84,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL1050",80.09,96.02,99.23,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"PSCI2000",79.76,95.88,99.18,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ANTH1100",80.06,96.01,99.22,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"BCM1420",0.0,79.67,95.94,99.17,99.81,99.96,100.0,100.0,100.0,100.0,100.0,100.0
"MATH1160",0.0,79.61,96.01,99.18,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"MUS1510",0.0,75.47,95.04,99.01,99.81,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"ACTY2100",0.0,60.85,92.05,98.42,99.69,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"BUS2700",0.0,26.04,84.82,97.01,99.41,99.9,99.98,100.0,100.0,100.0,100.0,100.0
"ECON2010",0.0,0.0,77.93,95.57,99.16,99.84,99.96,99.99,100.0,100.0,100.0,100.0
"HIST3010",0.0,0.0,73.2,94.67,98.93,99.77,99.96,99.99,100.0,100.0,100.0,100.0
"STAT2160",0.0,0.0,63.45,92.59,98.5,99.7,99.94,99.99,100.0,100.0,100.0,100.0
"ACTY2110",0.0,0.0,37.06,80.67,94.88,98.75,99.71,99.94,99.99,100.0,100.0,100.0
"ECON2020",0.0,0.0,37.52,86.19,97.23,99.45,99.88,99.97,99.99,100.0,100.0,100.0
"CIS2700",0.0,0.0,10.49,77.33,95.18,99.04,99.79,99.96,99.99,100.0,100.0,100.0
"MGMT2500",0.0,0.0,0.0,70.38,93.94,98.81,99.75,99.96,99.99,100.0,100.0,100.0
"MKTG2500",0.0,0.0,0.0,61.11,91.72,98.34,99.66,99.94,99.99,100.0,100.0,100.0
"BUS3750",0.0,0.0,0.0,39.24,81.29,95.05,98.73,99.71,99.94,99.99,100.0,100.0
"BUS3900",0.0,0.0,0.0,30.27,83.56,96.58,99.29,99.87,99.98,99.99,100.0,100.0
"FIN3200",0.0,0.0,0.0,9.9,70.24,92.53,98.25,99.58,99.91,99.98,100.0,100.0
"GEOS1000",0.0,0.0,0.0,4.88,69.14,93.48,98.69,99.73,99.94,99.99,100.0,100.0
"LAW3800",0.0,0.0,0.0,0.56,57.57,90.53,98.15,99.62,99.92,99.99,100.0,100.0
"ECON3450",0.0,0.0,0.0,0.0,41.7,85.58,96.89,99.35,99.86,99.98,99.99,100.0
"GEOG1000",0.0,0.0,0.0,0.0,12.3,73.22,94.35,98.9,99.8,99.97,99.99,100.0
"MKTG3600",0.0,0.0,0.0,0.0,15.83,66.99,91.77,98.05,99.54,99.89,99.97,99.99
"MKTG3710",0.0,0.0,0.0,0.0,0.61,49.84,87.31,97.19,99.39,99.88,99.97,99.99
"MUS1520",0.0,0.0,0.0,0.0,1.99,40.39,84.64,96.91,99.38,99.86,99.97,99.99
"BUS4750",0.0,0.0,0.0,0.0,0.0,17.7,64.48,88.58,96.76,99.17,99.8,99.95
"ECON4060",0.0,0.0,0.0,0.0,0.0,16.14,72.48,94.15,98.8,99.75,99.94,99.99
"MKTG3760",0.0,0.0,0.0,0.0,0.0,6.64,62.02,91.01,98.11,99.61,99.92,99.98
"ECON3880",0.0,0.0,0.0,0.0,0.0,2.34,50.88,87.76,97.58,99.54,99.9,99.98
"HIST2110",0.0,0.0,0.0,0.0,0.0,0.48,37.52,82.4,96.37,99.26,99.85,99.97
"ANTH3440",0.0,0.0,0.0,0.0,0.0,0.09,24.28,75.81,94.81,98.98,99.82,99.96
"HIST3020",0.0,0.0,0.0,0.0,0.0,0.01,13.47,67.39,92.6,98.45,99.72,99.96
"MKTG4100",0.0,0.0,0.0,0.0,0.0,0.0,5.46,55.19,87.78,97.1,99.32,99.85
"ADA2250",0.0,0.0,0.0,0.0,0.0,0.0,2.27,46.37,85.62,96.98,99.41,99.87
"MKTG2900(Elective)",0.0,0.0,0.0,0.0,0.0,0.0,0.53,33.92,80.14,95.72,99.11,99.83
"MKTG4600",0.0,0.0,0.0,0.0,0.0,0.0,0.08,22.38,73.03,93.98,98.73,99.73
"MKTG4700",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.89,61.05,89.32,97.34,99.38
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,37.63,76.26,93.48,98.5
