"name","complexity","blocking","delay","gradRate","gini_index"
"ART - 67.json",32.0,4.0,28.0,0.648,0.2528409090909091
"Accountancy - 178.json",177.0,62.0,115.0,0.546,0.45672829994863895
"Accounting - 74.json",300.0,114.0,186.0,0.482,0.4867901234567901
"Applied Baccalaureate - 83.json",155.0,51.0,104.0,0.492,0.43639371381306863
"BBA Accounting - 21.json",166.0,60.0,106.0,0.562,0.42168674698795183
"BFA Dance - 172.json",79.0,12.0,67.0,0.665,0.34742795583086455
"BS Biochemistry - 47.json",212.0,68.0,144.0,0.543,0.5207086976530143
"Behavior Science - 120.json",148.0,41.0,107.0,0.533,0.5190575190575191
"Biochemistry  - 151.json",392.0,147.0,245.0,0.533,0.3978134110787172
"Biology - 44.json",181.0,56.0,125.0,0.51,0.5311576512912759
"Biomedical Sciences - 143.json",296.0,98.0,198.0,0.548,0.5081792318634424
"Chemical Engineering - 48.json",437.0,180.0,257.0,0.309,0.5422864225781846
"Chemistry and Biochemistry - 32.json",190.0,76.0,114.0,0.699,0.297025171624714
"Civil Engineering - 191.json",334.0,127.0,207.0,0.352,0.5118399564507349
"Computer Information Systems - 183.json",155.0,53.0,102.0,0.542,0.4795198799699925
"Computer Science - 164.json",72.0,14.0,58.0,0.542,0.36622807017543857
"Criminal Justice - 181.json",73.0,12.0,61.0,0.584,0.33184931506849313
"EE16.0 - 41.json",430.0,183.0,247.0,0.217,0.5071490094745909
"ENGINEERING - 68.json",43.0,9.0,34.0,0.612,0.3755813953488372
"Early Childhood Education - 189.json",155.0,54.0,101.0,0.601,0.5186757215619694
"Electrical Engineering - 18.json",502.0,219.0,283.0,0.484,0.5154700347545986
"Electrical Engineering - 192.json",371.0,150.0,221.0,0.233,0.4963513246992308
"Electrical Engineering - 22.json",306.0,122.0,184.0,0.534,0.5233785822021116
"Electrical Engineering - 23.json",298.0,133.0,165.0,0.64,0.4975047324040613
"Elementary Education - 139.json",104.0,23.0,81.0,0.475,0.4590301003344482
"Engineering Design and Technology - 162.json",141.0,46.0,95.0,0.454,0.41954294720252167
"Exercise Science - 156.json",149.0,47.0,102.0,0.621,0.5021193924408336
"Film, Vedio and Media - 124.json",66.0,14.0,52.0,0.494,0.36445536445536447
"Finance - 180.json",164.0,58.0,106.0,0.527,0.46426545660805446
"General Psychology - 129.json",75.0,15.0,60.0,0.518,0.375
"Geography - 43.json",52.0,4.0,48.0,0.567,0.20865384615384616
"Graph Design - 173.json",164.0,63.0,101.0,0.504,0.4847560975609756
"HCM - Administration Option - 69.json",260.0,90.0,170.0,0.337,0.4930769230769231
"HCM-Clinical - 70.json",169.0,54.0,115.0,0.555,0.4557527942143327
"HCM-RDSC - 71.json",140.0,47.0,93.0,0.68,0.47406015037593985
"Health Informatics - 61.json",369.0,135.0,234.0,0.431,0.4565911730545877
"Human Resource Management - 118.json",72.0,13.0,59.0,0.548,0.34930555555555554
"Information Technology - 72.json",294.0,104.0,190.0,0.431,0.4962207105064248
"Integrated Supply Management - 184.json",145.0,51.0,94.0,0.358,0.4295352323838081
"Interdisciplinary Health Services - 193.json",65.0,11.0,54.0,0.572,0.36091476091476093
"MAE_TEST - 26.json",251.0,94.0,157.0,0.628,0.5527888446215139
"ME Starting with Foundational Math - 16.json",532.0,233.0,299.0,0.345,0.4851294903926483
"ME with ENG 101 - 17.json",361.0,149.0,212.0,0.344,0.47645429362880887
"MGMT-BSBM - 75.json",287.0,102.0,185.0,0.339,0.4853245142620918
"Management - 185.json",150.0,52.0,98.0,0.391,0.44575757575757574
"Marketing - 182.json",150.0,54.0,96.0,0.555,0.4517829457364341
"Marketing - 79.json",281.0,98.0,183.0,0.345,0.4700576757884403
"Mathematics - 42.json",121.0,32.0,89.0,0.578,0.5259588895952533
"Mechanical Engineering - 15.json",314.0,143.0,171.0,0.472,0.48656206307286004
"Mechanical Engineering - 165.json",400.0,167.0,233.0,0.373,0.4747777777777778
"Mechanical Engineering 2013-14  - 51.json",380.0,172.0,208.0,0.26,0.4653610771113831
"Music Theatre Performance - 158.json",128.0,39.0,89.0,0.547,0.496875
"Music Therapy - 174.json",136.0,36.0,100.0,0.578,0.48293067226890757
"Nursing - 177.json",256.0,122.0,134.0,0.175,0.43152573529411764
"Ops Management - 80.json",280.0,99.0,181.0,0.407,0.5110169491525424
"Organizational Communication - 117.json",66.0,14.0,52.0,0.536,0.36445536445536447
"Public Relations - 125.json",78.0,18.0,60.0,0.48,0.38527284681130836
"Sales and Business - 114.json",108.0,31.0,77.0,0.531,0.3773148148148148
"Software Engineering 3.2 - 64.json",356.0,120.0,236.0,0.188,0.5823635634028892
"test 4 - 38.json",13.0,3.0,10.0,0.728,0.25
