"name","actual","original","new","cruciality","term","difference","ttd"
"ENGL 101","0.7748344370860927",0.7883211678832117,"0.86010087602867","14","1","-0.0463","5708.700000000001"
"MATH 162","0.5129310344827587",0.45006993006993007,"0.48522784176264394","1","1","0.0019","5714.200000000001"
"ECE 101","0.9500912964090079",0.9468147282291058,"0.9594314480307966","1","1","-0.0173","5705.0"
"ECE 131","0.7586206896551724",0.5651105651105651,"0.6084827482296218","14","1","-0.0111","5698.700000000001"
"PHYC 160","0.5",0.3697478991596639,"0.378959500814753","14","1","0.013","5678.8"
"ENGL 102","0.7955271565495208",0.7945071113290829,"0.8092485549132948","13","2","-0.0111","5712.3"
"MATH 163","0.46919431279620855",0.39499509322865556,"0.408766532398744","18","2","0.0259","5683.200000000001"
"PHYC 161","0.6459627329192547",0.5503711558854719,"0.5528673481469787","13","2","-0.0154","5703.200000000001"
"PHYC 161L","0.9183673469387755",0.8566757493188011,"0.8575481477440122","3","2","-0.0105","5714.8"
"ECE 231","0.9293078055964654",0.9304750869061413,"0.9328954282711508","11","2","-0.0259","5704.5"
"ECE 203","0.8727272727272727",0.8230322239830956,"0.8248677248677249","11","3","-0.0123","5693.900000000001"
"ECE 238L","0.85",0.8232581967213115,"0.8308191788415092","4","3","-0.0099","5690.8"
"CHEM 121","0.5829268292682926",0.5276595744680851,"0.5186095102518771","3","3","-0.0364","5713.6"
"CHEM 123L","0.640625",0.6303501945525292,"0.6465251170710941","2","3","-0.0123","5718.1"
"ENGL 219","0.8623481781376519",0.8704997313272435,"0.8694485442103851","3","3","-0.0056","5686.400000000001"
"ECON 105","0.7213578500707214",0.7187222715173026,"0.7182584196384316","1","3","-0.0241","5738.900000000001"
"ECE 206L","0.9945848375451264",0.9980443285528031,"0.9950814963739499","6","4","-0.0099","5741.8"
"ECE 300","1.0",1.0,"1.0","13","4","-0.0154","5736.6"
"ECE 213","0.8666666666666667",0.8895990703079605,"0.9027146001467351","9","4","-0.0253","5739.400000000001"
"MATH 264","0.7189542483660131",0.703442188879082,"0.7125709204843763","4","4","-0.0111","5691.8"
"ECE 330","0.9948186528497409",0.9981331673926571,"0.9951968990506151","7","4","-0.0056","5694.1"
"ECE 321L","0.9722222222222222",0.9636942675159236,"0.9715490283672101","7","5","-0.0407","5716.1"
"MATH 327","0.8307692307692308",0.8295336787564767,"0.838037663636759","7","5","-0.0099","5698.0"
"ECE 314","0.9334532374100719",0.9346608587429994,"0.935106171859496","5","5","-0.0235","5719.400000000001"
"ECE 340","0.8717948717948718",0.5691729323308271,"0.5803656237670062","8","5","-0.0315","5690.3"
"SPAN 101","0.8769574944071589",0.8616285258116019,"0.8663668423346673","1","5","-0.016","5713.5"
"ECE 335","1.0",1.0,"1.0","4","6","-0.016","5715.700000000001"
"ECE 331","0.9693251533742331",0.9620330679730558,"0.9692682824291089","7","6","-0.0241","5682.900000000001"
"ECE 344L","0.775",0.7953922106417992,"0.8006512500689884","6","6","-0.0241","5709.0"
"PSY 105","0.6698717948717948",0.6301100628930818,"0.642285035138487","1","6","-0.013","5696.400000000001"
"ECE 419","1.0",1.0,"1.0","3","7","-0.0389","5716.700000000001"
"ECE 437","0.9090909090909091",0.9888268156424581,"0.9894630646788477","4","7","-0.0099","5728.8"
"ECE 435","1.0",1.0,"1.0","5","7","-0.0185","5693.8"
"ECE 495","0.94",0.860064585575888,"0.8686480856818641","1","7","-0.0012","5695.0"
"HIST 101","0.7046843177189409",0.7057769816390506,"0.711087539776627","1","7","-0.0086","5710.0"
"ECE 420","1.0",1.0,"1.0","2","8","-0.0216","5710.0"
"ECE 440","0.9765258215962441",0.9807692307692307,"0.9771785236198248","4","8","-0.0099","5696.3"
"ECE 412","0.8823529411764706",0.8815411155836688,"0.8860605883384993","5","8","-0.0111","5728.400000000001"
"ARTH 101","0.7840909090909091",0.7562043795620438,"0.7581294141959326","1","8","0.0074","5709.1"
"CLST 107","0.959758551307847",0.9592457420924574,"0.9576511195681033","1","8","-0.0173","5705.5"
