"name","complexity","blocking","delay","gradRate","gini_index","free","terms","courses","credits"
"ART - 67.json",32.0,4.0,28.0,0.886,0.2528409090909091,18.0,4.0,22.0,63.0
"Accountancy - 178.json",177.0,62.0,115.0,0.803,0.45672829994863895,27.0,8.0,44.0,123.0
"Accounting - 74.json",300.0,114.0,186.0,0.662,0.4867901234567901,22.0,12.0,54.0,181.0
"Applied Baccalaureate - 83.json",155.0,51.0,104.0,0.709,0.43639371381306863,17.0,8.0,39.0,118.0
"BBA Accounting - 21.json",166.0,60.0,106.0,0.864,0.42168674698795183,20.0,8.0,40.0,120.0
"BFA Dance - 172.json",79.0,12.0,67.0,0.974,0.34742795583086455,41.0,8.0,47.0,101.0
"BS Biochemistry - 47.json",212.0,68.0,144.0,0.802,0.5207086976530143,20.0,8.0,41.0,120.0
"Behavior Science - 120.json",148.0,41.0,107.0,0.771,0.5190575190575191,22.0,8.0,39.0,123.0
"Biochemistry  - 151.json",392.0,147.0,245.0,0.757,0.3978134110787172,11.0,8.0,35.0,99.0
"Biology - 44.json",181.0,56.0,125.0,0.7,0.5311576512912759,26.0,8.0,43.0,123.0
"Biomedical Sciences - 143.json",296.0,98.0,198.0,0.809,0.5081792318634424,17.0,8.0,38.0,115.0
"Chemical Engineering - 48.json",437.0,180.0,257.0,0.436,0.5422864225781846,21.0,8.0,48.0,123.0
"Chemistry and Biochemistry - 32.json",190.0,76.0,114.0,0.996,0.297025171624714,4.0,12.0,23.0,123.0
"Civil Engineering - 191.json",334.0,127.0,207.0,0.49,0.5118399564507349,18.0,8.0,44.0,126.0
"Computer Information Systems - 183.json",155.0,53.0,102.0,0.803,0.4795198799699925,29.0,8.0,43.0,124.0
"Computer Science - 164.json",72.0,14.0,58.0,0.804,0.36622807017543857,29.0,8.0,38.0,122.0
"Criminal Justice - 181.json",73.0,12.0,61.0,0.787,0.33184931506849313,30.0,8.0,40.0,123.0
"EE16.0 - 41.json",430.0,183.0,247.0,0.319,0.5071490094745909,22.0,12.0,54.0,190.0
"ENGINEERING - 68.json",43.0,9.0,34.0,0.853,0.3755813953488372,13.0,4.0,20.0,64.0
"Early Childhood Education - 189.json",155.0,54.0,101.0,0.873,0.5186757215619694,24.0,9.0,38.0,126.0
"Electrical Engineering - 18.json",502.0,219.0,283.0,0.702,0.5154700347545986,22.0,8.0,47.0,0.0
"Electrical Engineering - 192.json",371.0,150.0,221.0,0.381,0.4963513246992308,18.0,8.0,41.0,127.0
"Electrical Engineering - 22.json",306.0,122.0,184.0,0.762,0.5233785822021116,18.0,8.0,39.0,0.0
"Electrical Engineering - 23.json",298.0,133.0,165.0,0.952,0.4975047324040613,16.0,8.0,39.0,0.0
"Elementary Education - 139.json",104.0,23.0,81.0,0.696,0.4590301003344482,35.0,10.0,46.0,153.0
"Engineering Design and Technology - 162.json",141.0,46.0,95.0,0.712,0.41954294720252167,27.0,8.0,45.0,127.0
"Exercise Science - 156.json",149.0,47.0,102.0,0.904,0.5021193924408336,23.0,8.0,38.0,114.0
"Film, Vedio and Media - 124.json",66.0,14.0,52.0,0.735,0.36445536445536447,30.0,8.0,37.0,123.0
"Finance - 180.json",164.0,58.0,106.0,0.75,0.46426545660805446,27.0,8.0,43.0,122.0
"General Psychology - 129.json",75.0,15.0,60.0,0.767,0.375,31.0,8.0,40.0,123.0
"Geography - 43.json",52.0,4.0,48.0,0.855,0.20865384615384616,37.0,8.0,40.0,120.0
"Graph Design - 173.json",164.0,63.0,101.0,0.73,0.4847560975609756,25.0,8.0,40.0,122.0
"HCM - Administration Option - 69.json",260.0,90.0,170.0,0.539,0.4930769230769231,28.0,12.0,60.0,182.0
"HCM-Clinical - 70.json",169.0,54.0,115.0,0.824,0.4557527942143327,24.0,9.0,45.0,138.0
"HCM-RDSC - 71.json",140.0,47.0,93.0,0.976,0.47406015037593985,22.0,9.0,38.0,115.0
"Health Informatics - 61.json",369.0,135.0,234.0,0.639,0.4565911730545877,21.0,12.0,56.0,180.0
"Human Resource Management - 118.json",72.0,13.0,59.0,0.837,0.34930555555555554,33.0,8.0,40.0,122.0
"Information Technology - 72.json",294.0,104.0,190.0,0.612,0.4962207105064248,25.0,12.0,54.0,180.0
"Integrated Supply Management - 184.json",145.0,51.0,94.0,0.577,0.4295352323838081,30.0,8.0,46.0,129.0
"Interdisciplinary Health Services - 193.json",65.0,11.0,54.0,0.836,0.36091476091476093,31.0,8.0,37.0,122.0
"MAE_TEST - 26.json",251.0,94.0,157.0,0.932,0.5527888446215139,31.0,8.0,52.0,0.0
"ME Starting with Foundational Math - 16.json",532.0,233.0,299.0,0.472,0.4851294903926483,19.0,12.0,45.0,0.0
"ME with ENG 101 - 17.json",361.0,149.0,212.0,0.473,0.47645429362880887,19.0,9.0,43.0,0.0
"MGMT-BSBM - 75.json",287.0,102.0,185.0,0.506,0.4853245142620918,25.0,12.0,59.0,182.0
"Management - 185.json",150.0,52.0,98.0,0.541,0.44575757575757574,28.0,8.0,44.0,131.0
"Marketing - 182.json",150.0,54.0,96.0,0.776,0.4517829457364341,28.0,8.0,43.0,122.0
"Marketing - 79.json",281.0,98.0,183.0,0.528,0.4700576757884403,24.0,12.0,58.0,179.0
"Mathematics - 42.json",121.0,32.0,89.0,0.823,0.5259588895952533,28.0,8.0,39.0,120.0
"Mechanical Engineering - 15.json",314.0,143.0,171.0,0.667,0.48656206307286004,19.0,8.0,41.0,0.0
"Mechanical Engineering - 165.json",400.0,167.0,233.0,0.53,0.4747777777777778,16.0,8.0,45.0,128.0
"Mechanical Engineering 2013-14  - 51.json",380.0,172.0,208.0,0.396,0.4653610771113831,16.0,8.0,43.0,130.0
"Music Theatre Performance - 158.json",128.0,39.0,89.0,0.785,0.496875,29.0,8.0,40.0,111.0
"Music Therapy - 174.json",136.0,36.0,100.0,0.875,0.48293067226890757,43.0,8.0,56.0,122.0
"Nursing - 177.json",256.0,122.0,134.0,0.272,0.43152573529411764,19.0,8.0,34.0,125.0
"Ops Management - 80.json",280.0,99.0,181.0,0.592,0.5110169491525424,26.0,12.0,59.0,180.0
"Organizational Communication - 117.json",66.0,14.0,52.0,0.73,0.36445536445536447,30.0,8.0,37.0,123.0
"Public Relations - 125.json",78.0,18.0,60.0,0.732,0.38527284681130836,29.0,8.0,39.0,123.0
"Sales and Business - 114.json",108.0,31.0,77.0,0.769,0.3773148148148148,26.0,8.0,40.0,123.0
"Software Engineering 3.2 - 64.json",356.0,120.0,236.0,0.253,0.5823635634028892,28.0,12.0,56.0,191.0
"test 4 - 38.json",13.0,3.0,10.0,0.938,0.25,2.0,3.0,4.0,11.0
