"name","original","new","cruciality","blocking","delay","term","difference","difference_norm","ediff","ttd"
"MATH 121","0.7389","0.9606","10","6","4","1","0.0274","0.0274","190.41000000000014","0.05184999999999995"
"ENGL 110","0.8958","1.0","11","7","4","1","0.0117","0.0117","80.79000000000012","0.022800000000000153"
"Humanities","0.9","1.0","1","0","1","1","0.0101","0.0101","68.26999999999985","0.019049999999998235"
"Physical & Natural Science","0.9","1.0","1","0","1","1","0.0139","0.0139","68.53500000000014","0.019600000000002282"
"MGMT 113","0.8965","1.0","1","0","1","1","0.0054","0.0054","66.65000000000012","0.014750000000001151"
"MATH 180","0.7397","0.9616","4","1","3","2","0.0282","0.0141","155.82500000000027","0.051050000000001816"
"ENGL 120","0.9188","1.0","10","6","4","2","0.0077","0.00385","49.97499999999992","0.016342599999999763"
"Physical & Natural Science","0.9","1.0","1","0","1","2","0.0064","0.0032","55.890000000000185","0.014149999999998997"
"Physical & Natural Science Lab","0.9","1.0","1","0","1","2","0.0069","0.00345","45.98500000000013","0.01655000000000051"
"ECON 105","0.7904","1.0","1","0","1","2","0.0227","0.01135","156.63000000000002","0.04375000000000284"
"Foreign Language","0.9","1.0","1","0","1","2","0.0142","0.0071","62.575","0.025299999999999656"
"ENGL 219","0.9317","1.0","3","0","3","3","0.0029","0.0009666666666666666","35.475","0.006899999999999906"
"Fine Arts","0.9","1.0","1","0","1","3","0.0101","0.0033666666666666667","63.52500000000007","0.021199999999998553"
"ECON 106","0.7984","1.0","8","5","3","3","0.0224","0.007466666666666667","118.64999999999999","0.04344389999999976"
"STAT 145","0.8629","1.0","8","4","4","3","0.0083","0.002766666666666667","70.88500000000003","0.01950000000000074"
"Elective","0.9","1.0","1","0","1","3","0.0101","0.0033666666666666667","50.87000000000001","0.02215000000000167"
"CS 150L","0.8347","1.0","3","1","2","4","0.0121","0.003025","64.26499999999993","0.02444999999999986"
"MGMT 202","0.8038","1.0","12","8","4","4","0.028","0.007","111.01499999999983","0.054550000000000765"
"Social & Behavioral Science","0.9","1.0","1","0","1","4","0.0133","0.003325","44.804999999999836","0.02549999999999919"
"Elective","0.9","1.0","1","0","1","4","0.0125","0.003125","37.08","0.025050000000002015"
"MGMT 300","0.964","1.0","6","2","4","5","0.003","0.0006000000000000001","-3.1999999999999833","0.0072499999999990905"
"MGMT 303","0.933","1.0","6","3","3","5","0.0077","0.0015400000000000001","23.300000000000274","0.013600000000000279"
"MGMT 306","0.9833","1.0","6","2","4","5","0.0022","0.00044","-1.4550000000003225","0.005850000000000577"
"MGMT 308","0.9806","1.0","5","1","4","5","0.0023","0.00046","-2.154999999999817","0.0023924500000003235"
"MGMT 340","0.8943","1.0","6","2","4","5","0.0154","0.0030800000000000003","29.545000000000087","0.026299999999999102"
"MGMT 398","0.9929","1.0","1","0","1","5","0.0029","0.00058","-0.11000000000019383","0.009299999999999642"
"MGMT 310","0.973","1.0","5","1","4","6","0.0062","0.0010333333333333334","9.240000000000126","0.012100000000000222"
"MGMT 322","0.9537","1.0","5","2","3","6","0.0089","0.0014833333333333332","19.975000000000286","0.01720000000000077"
"MGMT 326","0.8605","1.0","3","0","3","6","0.0147","0.00245","43.35000000000002","0.03250000000000064"
"MGMT 341","0.9359","1.0","5","1","4","6","0.0068","0.0011333333333333332","8.895000000000206","0.017549999999998178"
"MGMT 346","0.9652","1.0","3","0","3","6","0.0091","0.0015166666666666668","7.2050000000001315","0.014649999999997831"
"MGMT 450","0.9847","1.0","4","0","4","7","0.0009","0.00012857142857142858","-9.394999999999996","0.003149999999999764"
"MGMT 343","0.9345","1.0","1","0","1","7","0.003","0.0004285714285714286","8.164999999999743","0.00689999999999813"
"Upper Divison Humanities","0.9","1.0","1","0","1","7","0.0083","0.0011857142857142858","9.52499999999987","0.016750000000000043"
"Elective","0.9","1.0","1","0","1","7","0.0064","0.0009142857142857144","6.165000000000042","0.013299999999999201"
"Elective","0.9","1.0","1","0","1","7","0.0132","0.0018857142857142857","9.64500000000001","0.0235000000000003"
"MGMT 328","0.9819","1.0","4","1","3","8","0.0015","0.0001875","0.5250000000001559","0.0023999999999997357"
"MGMT 443","0.9799","1.0","4","0","4","8","0.0026","0.000325","-18.67999999999993","0.005250000000001975"
"MGMT 449","0.9766","1.0","1","0","1","8","0.0056","0.0007","0.7600000000003062","0.00984999999999836"
"MGMT 498","0.9891","1.0","4","0","4","8","0.0046","0.000575","-13.15000000000008","0.00730000000000075"
"Elective","0.9","1.0","1","0","1","8","0.0836","0.01045","25.48500000000017","0.11304999999999765"
