"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6"
"ART 105","82.4","96.4","99.4","99.9","99.9","100.0"
"ART 121","79.7","95.4","99.5","99.9","99.9","100.0"
"ART 133","79.2","95.8","99.3","100.0","100.0","100.0"
"ART 151","79.5","95.0","99.0","99.7","100.0","100.0"
"ENGL 101","77.9","96.0","99.3","99.7","100.0","100.0"
"PE","81.6","96.0","99.5","99.9","100.0","100.0"
"Core B Elec","79.3","94.7","98.5","99.9","99.9","100.0"
"GE Transfer Elec","0.0","79.8","96.0","99.5","99.8","100.0"
"ART 107","0.0","79.6","95.5","99.2","99.8","100.0"
"ART 122","0.0","74.1","95.1","99.1","99.7","100.0"
"ART 176","0.0","60.6","91.8","98.0","99.5","99.9"
"ENGL 102","0.0","25.6","81.9","95.3","99.2","99.9"
"Core C Elec","0.0","0.0","78.1","95.2","99.0","99.7"
"ART 131","0.0","0.0","72.4","94.3","99.0","99.7"
"ART 181","0.0","0.0","64.2","91.8","97.5","99.5"
"COMM 101","0.0","0.0","45.9","89.3","97.5","99.6"
"Core C Elec 2","0.0","0.0","28.3","83.3","96.8","99.3"
"Transfer Elec 2","0.0","0.0","9.8","77.0","96.0","99.1"
"ART 115","0.0","0.0","0.7","70.7","94.4","98.9"
"Core B Elec","0.0","0.0","0.0","60.4","90.9","98.4"
"Core C Ele","0.0","0.0","0.0","42.5","85.7","96.4"
"Trans Ele 3","0.0","0.0","0.0","26.1","83.0","96.7"
"GRAD RATE","0.0","0.0","0.0","9.7","56.9","88.6"
