"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11"
"BIOS1700","78.0","96.0","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL1050","79.9","95.6","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ART1480","80.7","95.0","99.0","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"HOL1000","80.9","96.0","99.3","99.7","99.8","99.8","100.0","100.0","100.0","100.0","100.0"
"ED2900","81.1","96.6","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PHYS 1800","0.0","78.4","95.7","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH1500","0.0","77.7","95.5","98.8","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"PSCI2000","0.0","73.6","95.0","98.9","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"ECON1000","0.0","58.7","92.0","97.5","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"GEOG1900","0.0","26.9","84.7","97.8","99.5","99.9","99.9","100.0","100.0","100.0","100.0"
"MATH1510","0.0","0.0","61.4","87.9","97.5","99.0","100.0","100.0","100.0","100.0","100.0"
"ED2500","0.0","0.0","72.5","95.3","99.3","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL3830","0.0","0.0","58.4","92.1","98.9","100.0","100.0","100.0","100.0","100.0","100.0"
"HIST2100","0.0","0.0","33.0","85.1","96.5","99.3","99.9","100.0","100.0","100.0","100.0"
"MATH2650","0.0","0.0","7.5","75.7","93.0","98.3","99.6","99.8","100.0","100.0","100.0"
"CHEM2800","0.0","0.0","3.1","67.2","93.1","98.9","99.8","100.0","100.0","100.0","100.0"
"HIST3020","0.0","0.0","0.0","55.0","91.2","98.2","99.6","100.0","100.0","100.0","100.0"
"ED3090","0.0","0.0","0.0","27.8","80.0","95.9","98.9","100.0","100.0","100.0","100.0"
"LS3770","0.0","0.0","0.0","13.3","73.4","94.5","98.5","99.9","100.0","100.0","100.0"
"HPHE3520","0.0","0.0","0.0","25.4","76.5","94.6","99.1","99.7","100.0","100.0","100.0"
"MATH3520","0.0","0.0","0.0","3.6","53.1","83.7","94.3","98.8","99.6","99.9","100.0"
"ENGL 3690","0.0","0.0","0.0","3.0","54.0","89.1","97.4","99.6","99.9","100.0","100.0"
"LS3780","0.0","0.0","0.0","0.0","10.4","60.8","87.3","96.3","99.4","100.0","100.0"
"ED 3690","0.0","0.0","0.0","0.0","19.6","66.1","90.3","97.5","99.4","100.0","100.0"
"ED 3500","0.0","0.0","0.0","0.6","27.5","75.4","94.9","99.0","99.9","99.9","100.0"
"HPHE3400","0.0","52.7","62.9","65.8","72.8","90.3","97.6","99.3","100.0","100.0","100.0"
"ED4070","0.0","0.0","0.0","0.0","0.6","44.8","85.1","95.9","99.4","100.0","100.0"
"ED4300","0.0","0.0","0.0","0.0","0.0","7.9","50.0","79.5","92.9","98.6","99.8"
"EDT3470","0.0","0.0","0.0","0.0","2.2","40.8","81.9","96.3","99.5","99.9","100.0"
"SPED4270","0.0","0.0","0.0","0.0","0.6","21.9","72.0","93.2","98.6","99.6","99.9"
"ED 5750","0.0","0.0","0.0","0.0","0.2","9.8","61.4","90.7","98.1","99.8","100.0"
"ED4010","0.0","0.0","0.0","0.0","0.0","1.4","44.5","83.8","96.4","99.1","99.9"
"ED 3710","0.0","0.0","0.0","0.0","0.0","0.0","0.4","19.1","57.1","83.1","94.5"
"ED 4500","0.0","0.0","0.0","0.0","0.0","0.0","0.4","20.2","57.5","83.3","94.1"
"ED 4090","79.2","84.8","94.6","97.2","98.9","99.4","99.6","99.9","99.9","100.0","100.0"
"ED 4700","0.0","0.0","0.0","0.0","0.0","0.1","23.9","74.5","95.3","98.9","99.8"
"ED4100","0.0","0.0","0.0","0.0","0.0","0.0","0.9","25.2","72.1","101.7","110.1"
"ED4710","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.1","59.0","87.9","96.1"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.6","28.6","65.0","87.3"
